WEEK,OPP,TD,INT,FR,SCK,SFTY,BLK,PA,FPTS,Lions D
11,GB,0,1,3,1,0,0,31,9,
12,Ten,0,0,0,1,0,0,45,-5,
13,@Hou,0,1,1,5,1,0,20,11,
14,@LV,1,2,1,0,0,0,27,10,
15,Hou,0,0,2,5,0,0,20,9,
16,@Pit,0,0,0,1,0,0,28,-1,
17,Jax,0,0,1,6,0,0,14,12,
1,@NYG,0,2,0,3,0,0,16,10,Steelers
2,Den,0,1,1,7,1,0,21,14,
3,Hou,0,1,0,5,0,0,21,9,
4,BYE,--,--,--,--,--,--,--,--,
5,Phi,0,2,0,5,0,0,29,8,
6,Cle,1,2,0,4,0,0,7,20,
7,@Ten,0,0,0,2,0,0,24,4,
8,@Bal,1,2,2,4,0,0,24,16,
9,@Dal,0,1,1,2,0,0,19,6,
10,Cin,0,0,2,4,0,0,10,13,
11,@Jax,0,4,0,2,0,0,3,17,
12,Bal,1,1,1,3,0,0,14,16,
13,Wsh,0,0,0,3,0,0,23,4,
14,@Buf,0,1,1,1,0,0,20,7,
15,@Cin,0,0,0,2,0,0,27,4,
16,Ind,0,1,1,5,0,0,24,9,
17,@Cle,0,0,0,4,0,0,24,3,
1,Dal,0,0,0,3,0,0,17,3,Rams
2,@Phi,0,2,1,0,0,0,19,6,
3,@Buf,0,1,1,4,0,0,35,5,
4,NYG,0,1,0,5,0,0,9,13,
5,@Wsh,0,0,0,8,0,0,10,17,
6,@SF,0,0,0,0,0,0,24,-1,
7,Chi,0,2,0,4,0,0,4,14,
8,@Mia,0,0,2,1,0,0,22,12,
9,BYE,--,--,--,--,--,--,--,--,
10,Sea,0,2,1,6,0,0,16,13,
11,@TB,0,2,0,1,0,0,24,7,
12,SF,1,1,2,2,0,0,17,18,
13,@Ari,1,1,1,2,0,0,28,14,
14,NE,1,1,0,6,0,0,3,20,
15,NYJ,0,0,0,2,0,0,23,5,
16,@Sea,0,0,0,5,0,0,20,7,
17,Ari,1,1,0,4,1,1,7,22,
